id,name,department,instructor,grade
74,sub74,department74,instructor74,74
75,sub74,department75,instructor75,75
76,sub76,department76,instructor76,76
77,sub77,department77,instructor77,77
78,sub78,department78,instrucor78,78
79,sub79,department79,instructor79,79
80,sub80,department80,instructor80,80
81,sub81,department81,instructor81,81
82,sub82,department82,instructor82,82
83,sub83,department83,instructor83,83
84,sub84,department84,instructor84,84
85,sub85,department85,instructor85,85
86,sub86,department86,instructor86,86
87,sub87,department87,instructor87,87
88,sub88,department88,instructor88,88
89,sub89,department89,instructor89,89
90,sub90,department90,instructor90,90
91,sub91,department91,instructor91,91
92,sub92,department92,instructor92,92
93,sub93,department93,instructor93,93
94,sub94,department94,instructor94,94
95,sub95,department95,instructor95,95
96,sub96,department96,instructor96,96
97,sub97,department97,instructor97,97
98,sub98,department98,instructor98,98
99,sub99,department99,instructor99,99
100,sub100,department100,instructor100,100
